warehouse,floor_no,rack_no,location_id,x,y,z
5BTG,3,40,3401011,-4108.0,1793.0,0.0
5BTG,3,40,3402011,-4108.0,1793.0,165.0
5BTG,3,40,3403011,-4108.0,1793.0,320.0
5BTG,3,40,3404011,-4108.0,1793.0,475.0
5BTG,3,40,3405011,-4108.0,1793.0,630.0
5BTG,3,40,3406011,-4108.0,1793.0,785.0
5BTG,3,40,3407011,-4108.0,1793.0,940.0
5BTG,3,40,3401021,-4248.0,1793.0,0.0
5BTG,3,40,3402021,-4248.0,1793.0,165.0
5BTG,3,40,3403021,-4248.0,1793.0,320.0
5BTG,3,40,3404021,-4248.0,1793.0,475.0
5BTG,3,40,3405021,-4248.0,1793.0,630.0
5BTG,3,40,3406021,-4248.0,1793.0,785.0
5BTG,3,40,3407021,-4248.0,1793.0,940.0
5BTG,3,40,3401031,-4388.0,1793.0,0.0
5BTG,3,40,3402031,-4388.0,1793.0,165.0
5BTG,3,40,3403031,-4388.0,1793.0,320.0
5BTG,3,40,3404031,-4388.0,1793.0,475.0
5BTG,3,40,3405031,-4388.0,1793.0,630.0
5BTG,3,40,3406031,-4388.0,1793.0,785.0
5BTG,3,40,3407031,-4388.0,1793.0,940.0
5BTG,3,40,3401041,-4528.0,1793.0,0.0
5BTG,3,40,3402041,-4528.0,1793.0,165.0
5BTG,3,40,3403041,-4528.0,1793.0,320.0
5BTG,3,40,3404041,-4528.0,1793.0,475.0
5BTG,3,40,3405041,-4528.0,1793.0,630.0
5BTG,3,40,3406041,-4528.0,1793.0,785.0
5BTG,3,40,3407041,-4528.0,1793.0,940.0
5BTG,3,40,3401051,-4668.0,1793.0,0.0
5BTG,3,40,3402051,-4668.0,1793.0,165.0
5BTG,3,40,3403051,-4668.0,1793.0,320.0
5BTG,3,40,3404051,-4668.0,1793.0,475.0
5BTG,3,40,3405051,-4668.0,1793.0,630.0
5BTG,3,40,3406051,-4668.0,1793.0,785.0
5BTG,3,40,3407051,-4668.0,1793.0,940.0
5BTG,3,40,3401061,-4808.0,1793.0,0.0
5BTG,3,40,3402061,-4808.0,1793.0,165.0
5BTG,3,40,3403061,-4808.0,1793.0,320.0
5BTG,3,40,3404061,-4808.0,1793.0,475.0
5BTG,3,40,3405061,-4808.0,1793.0,630.0
5BTG,3,40,3406061,-4808.0,1793.0,785.0
5BTG,3,40,3407061,-4808.0,1793.0,940.0
5BTG,3,40,3401071,-4948.0,1793.0,0.0
5BTG,3,40,3402071,-4948.0,1793.0,165.0
5BTG,3,40,3403071,-4948.0,1793.0,320.0
5BTG,3,40,3404071,-4948.0,1793.0,475.0
5BTG,3,40,3405071,-4948.0,1793.0,630.0
5BTG,3,40,3406071,-4948.0,1793.0,785.0
5BTG,3,40,3407071,-4948.0,1793.0,940.0
5BTG,3,40,3401081,-5088.0,1793.0,0.0
5BTG,3,40,3402081,-5088.0,1793.0,165.0
5BTG,3,40,3403081,-5088.0,1793.0,320.0
5BTG,3,40,3404081,-5088.0,1793.0,475.0
5BTG,3,40,3405081,-5088.0,1793.0,630.0
5BTG,3,40,3406081,-5088.0,1793.0,785.0
5BTG,3,40,3407081,-5088.0,1793.0,940.0
5BTG,3,40,3401091,-5228.0,1793.0,0.0
5BTG,3,40,3402091,-5228.0,1793.0,165.0
5BTG,3,40,3403091,-5228.0,1793.0,320.0
5BTG,3,40,3404091,-5228.0,1793.0,475.0
5BTG,3,40,3405091,-5228.0,1793.0,630.0
5BTG,3,40,3406091,-5228.0,1793.0,785.0
5BTG,3,40,3407091,-5228.0,1793.0,940.0
5BTG,3,40,3401101,-5368.0,1793.0,0.0
5BTG,3,40,3402101,-5368.0,1793.0,165.0
5BTG,3,40,3403101,-5368.0,1793.0,320.0
5BTG,3,40,3404101,-5368.0,1793.0,475.0
5BTG,3,40,3405101,-5368.0,1793.0,630.0
5BTG,3,40,3406101,-5368.0,1793.0,785.0
5BTG,3,40,3407101,-5368.0,1793.0,940.0
5BTG,3,40,3401111,-5508.0,1793.0,0.0
5BTG,3,40,3402111,-5508.0,1793.0,165.0
5BTG,3,40,3403111,-5508.0,1793.0,320.0
5BTG,3,40,3404111,-5508.0,1793.0,475.0
5BTG,3,40,3405111,-5508.0,1793.0,630.0
5BTG,3,40,3406111,-5508.0,1793.0,785.0
5BTG,3,40,3407111,-5508.0,1793.0,940.0
5BTG,3,40,3401121,-5648.0,1793.0,0.0
5BTG,3,40,3402121,-5648.0,1793.0,165.0
5BTG,3,40,3403121,-5648.0,1793.0,320.0
5BTG,3,40,3404121,-5648.0,1793.0,475.0
5BTG,3,40,3405121,-5648.0,1793.0,630.0
