rack_no,pallet_id,location_id,stock_status_code
25,SYS16301989,3251561,DMG
25,SYS16301992,3251561,DMG
25,SYS16301993,3251561,DMG
25,SYS16299332,3251571,DMG
25,SYS16301542,3251571,DMG
25,SYS16302945,3251571,DMG
25,SYS16302946,3251571,DMG
25,SYS16304493,3251571,DMG
25,SYS16304520,3251571,DMG
25,SYS16307501,3251571,DMG
25,SYS16308082,3251571,DMG
25,SYS16307648,3251581,DMG
25,UINT0000090008,3252561,QAF
25,UINT0000090009,3252561,QAF
25,UINT0000067298,3253371,NE
25,UINT0000087958,3255311,QAF
25,UINT0000071547,3255361,NE
25,UINT0000087956,3256311,QAF
26,UINT0000071215,3262151,NE
26,UINT0000071214,3262152,NE
26,UINT0000071639,3263151,NE
26,UINT0000071638,3263152,NE
26,UINT0000071647,3263161,NE
26,UINT0000071646,3263162,NE
26,UINT0000071213,3264151,NE
26,UINT0000071212,3264152,NE
26,UINT0000071637,3264161,NE
26,UINT0000071654,3264162,NE
26,UINT0000075974,3264201,NE
26,UINT0000071209,3265151,NE
26,UINT0000071208,3265152,NE
26,UINT0000071207,3266151,NE
26,UINT0000071206,3266152,NE
27,UINT0000072697,3271011,NE
27,UINT0000072710,3271021,NE
27,UINT0000072708,3273032,NE
27,UINT0000072707,3274031,NE
27,UINT0000072706,3274032,NE
27,UINT0000072703,3275031,NE
27,UINT0000072702,3275032,NE
27,UINT0000072705,3275041,NE
27,UINT0000072704,3275042,NE
27,UINT0000073337,3275311,NE
27,UINT0000072700,3276031,NE
27,UINT0000072698,3276032,NE
27,UINT0000072701,3276041,NE
27,UINT0000072699,3276042,NE
28,UINT0000075967,3283251,NE
28,UINT0000075966,3283252,NE
28,UINT0000075970,3284251,NE
28,UINT0000075968,3284252,NE
28,SYS16277792,3285251,NE
28,UINT0000075971,3285252,NE
28,UINT0000075969,3286251,NE
28,UINT0000075975,3286252,NE
30,UINT0000074632,3306311,NE
31,SYS16107444,3313381,NE
31,SYS16203373,3315071,NE
31,SYS16203375,3315071,NE
31,SYS16203376,3315071,NE
