rack_no,pallet_id,location_id,stock_status_code
25,SYS16322566,3251551,DMG
25,SYS16319200,3251571,DMG
25,SYS16322430,3251571,DMG
25,SYS16323413,3251571,DMG
25,SYS16320514,3251581,DMG
25,UINT0000090388A,3251581,DMG
25,UINT0000090008,3252561,QAF
25,UINT0000090009,3252561,QAF
25,UINT0000087958,3255311,QAF
25,UINT0000087956,3256311,QAF
27,UINT0000073337,3275311,NE
28,SYS16322025,3281581,DMG
30,SYS16319058,3301011,QAF
30,SYS16319059,3301011,QAF
30,UINT0000092105,3302011,NE
30,UINT0000092100,3302012,NE
30,UINT0000092551,3302022,NE
30,UINT0000090641,3302051,NE
30,UINT0000090623,3302052,NE
30,UINT0000089669,3302261,NE
30,UINT0000089670,3302262,NE
30,UINT0000088426,3302271,NE
30,UINT0000088427,3302272,NE
30,UINT0000092108,3303011,NE
30,UINT0000092106,3303012,NE
30,UINT0000092550,3303021,NE
30,UINT0000092549,3303022,NE
30,UINT0000092101,3303041,NE
30,UINT0000092103,3303042,NE
30,UINT0000090613,3303051,NE
30,UINT0000090616,3303052,NE
30,UINT0000090615,3303061,NE
30,UINT0000090618,3303062,NE
30,UINT0000089671,3303261,NE
30,UINT0000089672,3303262,NE
30,UINT0000088425,3303271,NE
30,UINT0000088430,3303272,NE
30,UINT0000092548,3304021,NE
30,UINT0000092547,3304022,NE
30,UINT0000092209,3304041,NE
30,UINT0000092104,3304042,NE
30,UINT0000092369,3304051,NE
30,UINT0000092368,3304052,NE
30,UINT0000090617,3304061,NE
30,UINT0000090609,3304062,NE
30,UINT0000091268,3304261,NE
30,UINT0000091266,3304262,NE
30,UINT0000088424,3304271,NE
30,UINT0000088423,3304272,NE
30,UINT0000092546,3305021,NE
30,UINT0000092545,3305022,NE
30,UINT0000092210,3305041,NE
30,UINT0000092109,3305042,NE
30,UINT0000092107,3305051,NE
30,UINT0000092102,3305052,NE
30,UINT0000090614,3305061,NE
30,UINT0000090610,3305062,NE
30,UINT0000091267,3305261,NE
30,UINT0000091269,3305262,NE
30,UINT0000088436,3305271,NE
30,UINT0000088435,3305272,NE
30,UINT0000092544,3306021,NE
30,UINT0000092543,3306022,NE
30,UINT0000092554,3306031,NE
30,UINT0000092553,3306032,NE
30,UINT0000092097,3306041,NE
30,UINT0000092098,3306042,NE
30,UINT0000092208,3306051,NE
30,UINT0000092099,3306052,NE
30,UINT0000090619,3306061,NE
30,UINT0000090627,3306062,NE
30,UINT0000091271,3306261,NE
30,UINT0000091270,3306262,NE
30,UINT0000088432,3306271,NE
30,UINT0000088433,3306272,NE
31,UINT0000067298,3312581,NE
31,SYS16107444,3313381,NE
31,SYS16272308,3314581,NE
31,SYS16203373,3315071,NE
31,SYS16203375,3315071,NE
31,SYS16203376,3315071,NE
31,SYS16157252,3315101,NE
31,SYS16203378,3315171,NE
31,SYS16203380,3315171,NE
31,SYS16203381,3315171,NE
31,UINT0000088466,3316051,DMG
31,UINT0000062153,3316161,NE
31,UINT0000062152,3317061,NE
31,UINT0000074645,3317101,NE
31,SYS16264251,3317361,NE
31,UINT0000088750,3317451,NE
31,SYS16272307,3317571,NE
31,UINT0000084620,3318361,QAF
31,UINT0000084621,3318371,QAF
31,UINT0000084622,3318381,QAF
31,UINT0000084623,3318391,QAF
31,UINT0000084624,3318401,QAF
31,UINT0000084625,3318411,QAF
31,UINT0000084618.,3318421,QAF
31,UINT00000846180,3318431,QAF
31,UINT00000846181,3318441,QAF
31,UINT00000846182,3318451,QAF
31,UINT00000846183,3318461,QAF
31,UINT00000846184,3318471,QAF
31,UINT00000846185,3318481,QAF
31,UINT00000846186,3318491,QAF
31,UINT00000846187,3318501,QAF
31,UINT00000846188,3318511,QAF
31,UINT00000846189,3318521,QAF
31,UINT00000846190,3318531,QAF
31,UINT00000846191,3318541,QAF
31,UINT000008461800,3318551,QAF
31,UINT000008461801,3318561,QAF
31,UINT000008461802,3318571,QAF
31,UINT000008461803,3318581,QAF
32,SYS16239573,3321031,NE
32,SYS16239574,3321031,NE
32,SYS16239575,3321031,NE
32,SYS16239576,3321031,NE
32,SYS16239577,3321031,NE
32,SYS16263642,3321031,NE
32,UINT0000091207,3321201,QAF
32,UINT0000089084,3321381,QAF
32,UINT0000089083,3321382,QAF
32,UINT0000089089,3321391,QAF
32,UINT0000089088,3321392,QAF
32,UINT0000089085,3321401,QAF
32,UINT0000089082,3321402,QAF
32,UINT0000089087,3321411,QAF
32,UINT0000089086,3321412,QAF
32,UINT0000089080,3321421,QAF
32,UINT0000089079,3321422,QAF
32,UINT0000086016,3322471,NE
32,UINT0000086015,3322472,NE
32,UINT0000086032,3322481,NE
32,UINT0000086031,3322482,NE
32,UINT0000086024,3323471,NE
32,UINT0000086023,3323472,NE
32,UINT0000086030,3323481,NE
32,UINT0000086029,3323482,NE
32,UINT0000086022,3323491,NE
32,UINT0000086021,3323492,NE
32,UINT0000086037,3324461,NE
32,UINT0000086034,3324471,NE
32,UINT0000086033,3324472,NE
32,UINT0000086028,3324481,NE
32,UINT0000086027,3324482,NE
32,UINT0000086020,3324491,NE
32,UINT0000086019,3324492,NE
32,UINT0000086036,3325471,NE
32,UINT0000086035,3325472,NE
32,UINT0000086026,3325481,NE
32,UINT0000086025,3325482,NE
32,UINT0000086018,3325491,NE
32,UINT0000086017,3325492,NE
34,UINT0000091058,3341011,QAF
34,UINT0000086670,3341032,NE
34,UINT0000086667,3341041,NE
34,UINT0000086668,3341042,NE
34,UINT0000086665,3341051,NE
34,UINT0000086666,3341052,NE
34,UINT0000086663,3341061,NE
34,UINT0000086664,3341062,NE
34,UINT0000086661,3341071,NE
