warehouse,floor_no,rack_no,location_id,x,y,z
5BTG,3,35,3351031,-2652.0,3518.0,0.0
5BTG,3,35,3351032,-2652.0,3653.0,0.0
5BTG,3,35,3351041,-2792.0,3518.0,0.0
5BTG,3,35,3351042,-2792.0,3653.0,0.0
5BTG,3,35,3351051,-2932.0,3518.0,0.0
5BTG,3,35,3351052,-2932.0,3653.0,0.0
5BTG,3,35,3351061,-3072.0,3518.0,0.0
5BTG,3,35,3351062,-3072.0,3653.0,0.0
5BTG,3,35,3351071,-3212.0,3518.0,0.0
5BTG,3,35,3351072,-3212.0,3653.0,0.0
5BTG,3,35,3351081,-3352.0,3518.0,0.0
5BTG,3,35,3351082,-3352.0,3653.0,0.0
5BTG,3,35,3351091,-3492.0,3518.0,0.0
5BTG,3,35,3351092,-3492.0,3653.0,0.0
5BTG,3,35,3351101,-3632.0,3518.0,0.0
5BTG,3,35,3351102,-3632.0,3653.0,0.0
5BTG,3,35,3351111,-3772.0,3518.0,0.0
5BTG,3,35,3351112,-3772.0,3653.0,0.0
5BTG,3,35,3351121,-3912.0,3518.0,0.0
5BTG,3,35,3351122,-3912.0,3653.0,0.0
5BTG,3,35,3351131,-4052.0,3518.0,0.0
5BTG,3,35,3351132,-4052.0,3653.0,0.0
5BTG,3,35,3351141,-4192.0,3518.0,0.0
5BTG,3,35,3351142,-4192.0,3653.0,0.0
5BTG,3,35,3351151,-4332.0,3518.0,0.0
5BTG,3,35,3351152,-4332.0,3653.0,0.0
5BTG,3,35,3351161,-4472.0,3518.0,0.0
5BTG,3,35,3351162,-4472.0,3653.0,0.0
5BTG,3,35,3351171,-4612.0,3518.0,0.0
5BTG,3,35,3351172,-4612.0,3653.0,0.0
5BTG,3,35,3351181,-4752.0,3518.0,0.0
5BTG,3,35,3351182,-4752.0,3653.0,0.0
5BTG,3,35,3351191,-4892.0,3518.0,0.0
5BTG,3,35,3351192,-4892.0,3653.0,0.0
5BTG,3,35,3351201,-5032.0,3518.0,0.0
5BTG,3,35,3351202,-5032.0,3653.0,0.0
5BTG,3,35,3351211,-5172.0,3518.0,0.0
5BTG,3,35,3351212,-5172.0,3653.0,0.0
5BTG,3,35,3351221,-5312.0,3518.0,0.0
5BTG,3,35,3351222,-5312.0,3653.0,0.0
5BTG,3,35,3351231,-5452.0,3518.0,0.0
5BTG,3,35,3351232,-5452.0,3653.0,0.0
5BTG,3,35,3351241,-5592.0,3518.0,0.0
5BTG,3,35,3351242,-5592.0,3653.0,0.0
5BTG,3,35,3351251,-5732.0,3518.0,0.0
5BTG,3,35,3351252,-5732.0,3653.0,0.0
5BTG,3,35,3351261,-5872.0,3518.0,0.0
5BTG,3,35,3351262,-5872.0,3653.0,0.0
5BTG,3,35,3351271,-6012.0,3518.0,0.0
5BTG,3,35,3351272,-6012.0,3653.0,0.0
5BTG,3,35,3351281,-6152.0,3518.0,0.0
5BTG,3,35,3351282,-6152.0,3653.0,0.0
5BTG,3,35,3351291,-6292.0,3518.0,0.0
5BTG,3,35,3351292,-6292.0,3653.0,0.0
5BTG,3,35,3351301,-6432.0,3518.0,0.0
5BTG,3,35,3351302,-6432.0,3653.0,0.0
5BTG,3,35,3351311,-6572.0,3518.0,0.0
5BTG,3,35,3351312,-6572.0,3653.0,0.0
5BTG,3,35,3351321,-6712.0,3518.0,0.0
5BTG,3,35,3351322,-6712.0,3653.0,0.0
5BTG,3,35,3351331,-6852.0,3518.0,0.0
5BTG,3,35,3351332,-6852.0,3653.0,0.0
5BTG,3,35,3351341,-6992.0,3518.0,0.0
5BTG,3,35,3351342,-6992.0,3653.0,0.0
5BTG,3,35,3351351,-7132.0,3518.0,0.0
5BTG,3,35,3351352,-7132.0,3653.0,0.0
5BTG,3,35,3351361,-7272.0,3518.0,0.0
5BTG,3,35,3351362,-7272.0,3653.0,0.0
5BTG,3,35,3351371,-7412.0,3518.0,0.0
5BTG,3,35,3351372,-7412.0,3653.0,0.0
5BTG,3,35,3351381,-7552.0,3518.0,0.0
